Entity,Code,Year,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 65+ - Variant: medium,Population - Sex: all - Age: 15-64 - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: medium,Population - Sex: all - Age: 0-14 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: medium
Vietnam,VNM,1950,1033883.0,,15830823.0,,8235854.0,
Vietnam,VNM,1951,1076668.0,,16008557.0,,8514896.0,
Vietnam,VNM,1952,1121658.0,,16170405.0,,8851717.0,
Vietnam,VNM,1953,1168615.0,,16318995.0,,9270235.0,
Vietnam,VNM,1954,1217135.0,,16473741.0,,9736935.0,
Vietnam,VNM,1955,1269436.0,,16648925.0,,10248013.0,
Vietnam,VNM,1956,1326054.0,,16831604.0,,10764590.0,
Vietnam,VNM,1957,1384929.0,,17013348.0,,11356085.0,
Vietnam,VNM,1958,1445336.0,,17198487.0,,12014566.0,
Vietnam,VNM,1959,1506415.0,,17391625.0,,12687451.0,
Vietnam,VNM,1960,1568734.0,,17596054.0,,13367084.0,
Vietnam,VNM,1961,1631526.0,,17815225.0,,13962252.0,
Vietnam,VNM,1962,1692503.0,,18049703.0,,14546299.0,
Vietnam,VNM,1963,1751614.0,,18306051.0,,15191388.0,
Vietnam,VNM,1964,1814007.0,,18659969.0,,15727545.0,
Vietnam,VNM,1965,1880825.0,,19097071.0,,16151724.0,
Vietnam,VNM,1966,1951416.0,,19498374.0,,16575012.0,
Vietnam,VNM,1967,2027348.0,,19929630.0,,16938078.0,
Vietnam,VNM,1968,2096518.0,,20396123.0,,17241946.0,
Vietnam,VNM,1969,2156149.0,,20898651.0,,17527276.0,
Vietnam,VNM,1970,2211972.0,,21457356.0,,17805876.0,
Vietnam,VNM,1971,2261536.0,,22059013.0,,18128706.0,
Vietnam,VNM,1972,2296105.0,,22711681.0,,18421356.0,
Vietnam,VNM,1973,2325632.0,,23388340.0,,18695863.0,
Vietnam,VNM,1974,2362349.0,,24083218.0,,18967939.0,
Vietnam,VNM,1975,2413848.0,,24829352.0,,19239667.0,
Vietnam,VNM,1976,2485298.0,,25568725.0,,19630855.0,
Vietnam,VNM,1977,2565107.0,,26337749.0,,20051957.0,
Vietnam,VNM,1978,2647578.0,,27193697.0,,20408198.0,
Vietnam,VNM,1979,2727194.0,,27890235.0,,20760689.0,
Vietnam,VNM,1980,2802473.0,,28542627.0,,21144884.0,
Vietnam,VNM,1981,2873392.0,,29273925.0,,21590691.0,
Vietnam,VNM,1982,2939886.0,,29976318.0,,22094933.0,
Vietnam,VNM,1983,3004832.0,,30705615.0,,22627293.0,
Vietnam,VNM,1984,3073110.0,,31472460.0,,23160297.0,
Vietnam,VNM,1985,3146768.0,,32248643.0,,23664981.0,
